City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,lubao,14.9167,120.55,299.29,63,0,3.28,PH,1678237992
246,azua,18.4532,-70.7349,295.4,81,1,1.62,DO,1678237992
247,san jeronimo,-11.9472,-75.2829,283.84,79,90,1.6,PE,1678237993
248,te anau,-45.4167,167.7167,295.57,41,0,3.51,NZ,1678237993
249,miraflores,19.2167,-98.8083,297.52,35,0,0.84,MX,1678237994
250,shimoda,34.6667,138.95,292.1,44,0,4.52,JP,1678237994
251,olecko,54.0337,22.507,272.82,87,100,6.61,PL,1678237995
252,airai,-8.9266,125.4092,294.46,67,100,0.93,TL,1678237995
253,khash,28.2211,61.2158,288.59,33,34,1.71,IR,1678237996
254,mangochi,-14.4782,35.2645,294.31,93,98,2.46,MW,1678237997
255,atar,20.5169,-13.0499,298.19,13,0,3.84,MR,1678237997
256,chunhuhub,19.55,-88.6833,298.65,54,97,2.28,MX,1678237999
257,nome,64.5011,-165.4064,273.8,100,100,9.26,US,1678237999
258,saint george,37.1041,-113.5841,287.56,35,1,2.68,US,1678237861
259,daru,-9.0763,143.2092,303.58,62,82,6.6,PG,1678238000
260,karatu,-3.3333,35.6667,289.34,76,4,2.15,TZ,1678238000
261,severo-kurilsk,50.6789,156.125,273.48,93,92,4.34,RU,1678238001
262,liverpool,53.4106,-2.9779,272.75,83,0,2.06,GB,1678237907
263,port moresby,-9.4431,147.1797,303.36,61,22,4.11,PG,1678238002
264,ormara,25.2088,64.6357,296.65,75,0,1.86,PK,1678238002
265,kabanjahe,3.1001,98.4908,291.56,88,11,0.92,ID,1678238003
266,luderitz,-26.6481,15.1594,288.76,85,0,3.0,,1678238003
267,paamiut,61.994,-49.6678,270.48,93,99,6.4,GL,1678238004
268,usatove,46.533,30.6596,279.31,77,21,3.59,UA,1678238004
269,katobu,-4.9408,122.5276,297.06,94,100,1.46,ID,1678238005
270,maiquetia,10.5962,-66.9548,303.23,70,75,3.09,VE,1678238005
271,uvira,-3.4067,29.1458,296.38,75,77,1.54,CD,1678238006
272,mayumba,-3.432,10.6554,299.43,84,100,2.53,GA,1678238006
273,arawa,-6.2132,155.5367,300.55,79,100,1.35,PG,1678238007
274,manado,1.487,124.8455,302.58,79,40,1.54,ID,1678237940
275,grindavik,63.8424,-22.4338,266.41,58,40,10.8,IS,1678238007
276,lugovoy,42.9472,72.7644,285.94,28,100,4.92,KZ,1678238008
277,corralillo,22.9819,-80.5856,297.13,67,5,3.59,CU,1678238008
278,ribeira grande,38.5167,-28.7,289.69,81,48,10.28,PT,1678238009
279,suluq,31.6682,20.2521,288.87,38,88,1.06,LY,1678238009
